disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2009-0111-USA,United States of America (the),2009,3.0,22.0,2009,3.0,22.0,Technological,Technological,Transport accident,Air,14.0,14.0
2009-0601-USA,United States of America (the),2009,6.0,10.0,2009,6.0,18.0,Natural,Meteorological,Storm,Convective storm,2.0,1.0
2009-0244-USA,United States of America (the),2009,4.0,16.0,2009,4.0,18.0,Natural,Meteorological,Storm,Convective storm,6.0,6.0
2009-0184-USA,United States of America (the),2009,5.0,3.0,2009,5.0,10.0,Natural,Hydrological,Flood,Riverine flood,900.0,0.0
2009-0644-USA,United States of America (the),2009,3.0,26.0,2009,3.0,28.0,Natural,Meteorological,Storm,Convective storm,25.0,6.0
2009-0603-USA,United States of America (the),2009,7.0,20.0,2009,7.0,21.0,Natural,Meteorological,Storm,Convective storm,1.0,1.0
2009-0287-USA,United States of America (the),2009,2.0,10.0,2009,2.0,13.0,Natural,Meteorological,Storm,Convective storm,50.0,16.0
2009-0477-USA,United States of America (the),2009,11.0,9.0,2009,11.0,10.0,Natural,Meteorological,Storm,Tropical cyclone,6.0,6.0
2009-0342-USA,United States of America (the),2009,8.0,23.0,2009,8.0,23.0,Natural,Meteorological,Storm,Tropical cyclone,9.0,3.0
2009-0604-USA,United States of America (the),2009,5.0,7.0,2009,5.0,9.0,Natural,Meteorological,Storm,Convective storm,7.0,7.0
2009-0599-USA,United States of America (the),2009,12.0,23.0,2009,12.0,25.0,Natural,Meteorological,Storm,Convective storm,19.0,19.0
2009-0190-USA,United States of America (the),2009,4.0,6.0,2009,4.0,9.0,Natural,Hydrological,Flood,Riverine flood,1000.0,0.0
2009-0405-USA,United States of America (the),2009,9.0,20.0,2009,9.0,21.0,Natural,Hydrological,Flood,Riverine flood,3000.0,9.0
2009-0178-USA,United States of America (the),2009,5.0,5.0,2009,5.0,11.0,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",263.0,0.0
2009-0349-USA,United States of America (the),2009,7.0,7.0,2009,10.0,27.0,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",192.0,2.0
2009-0180-USA,United States of America (the),2009,5.0,13.0,2009,5.0,13.0,Technological,Technological,Transport accident,Water,16.0,12.0
2010-0690-USA,United States of America (the),2010,5.0,10.0,2010,5.0,16.0,Natural,Meteorological,Storm,Convective storm,20.0,20.0
2010-0196-USA,United States of America (the),2010,5.0,12.0,2010,5.0,16.0,Natural,Meteorological,Storm,Convective storm,58.0,5.0
2010-0468-USA,United States of America (the),2010,9.0,3.0,2010,9.0,3.0,Natural,Meteorological,Storm,Tropical cyclone,1.0,1.0
2010-0689-USA,United States of America (the),2010,6.0,17.0,2010,6.0,20.0,Natural,Meteorological,Storm,Convective storm,100.0,20.0
2010-0187-USA,United States of America (the),2010,4.0,30.0,2010,5.0,3.0,Natural,Meteorological,Storm,Convective storm,8000.0,30.0
2010-0612-USA,United States of America (the),2010,3.0,13.0,2010,3.0,15.0,Natural,Meteorological,Storm,Convective storm,11.0,11.0
2010-0522-USA,United States of America (the),2010,9.0,7.0,2010,9.0,11.0,Natural,Meteorological,Storm,Tropical cyclone,8.0,8.0
2010-0167-USA,United States of America (the),2010,4.0,20.0,2010,4.0,20.0,Technological,Technological,Industrial accident,Explosion,17.0,11.0
2010-0163-USA,United States of America (the),2010,4.0,24.0,2010,4.0,24.0,Natural,Meteorological,Storm,Convective storm,2770.0,12.0
2010-0663-USA,United States of America (the),2010,12.0,31.0,2011,1.0,1.0,Natural,Meteorological,Storm,Convective storm,13.0,8.0
2010-0045-USA,United States of America (the),2010,2.0,5.0,2010,2.0,11.0,Natural,Meteorological,Storm,Convective storm,2.0,2.0
2010-0089-USA,United States of America (the),2010,2.0,23.0,2010,2.0,28.0,Natural,Meteorological,Storm,Convective storm,1.0,1.0
2010-0655-USA,United States of America (the),2010,12.0,26.0,2010,12.0,26.0,Natural,Meteorological,Storm,Convective storm,0.0,0.0
2010-0027-USA,United States of America (the),2010,1.0,10.0,2010,1.0,10.0,Natural,Geophysical,Earthquake,Ground movement,630.0,0.0
2010-0162-USA,United States of America (the),2010,3.0,27.0,2010,3.0,31.0,Natural,Hydrological,Flood,Riverine flood,0.0,0.0
2010-0225-USA,United States of America (the),2010,6.0,10.0,2010,6.0,11.0,Natural,Hydrological,Flood,Riverine flood,20.0,20.0
2010-0651-USA,United States of America (the),2010,12.0,19.0,2010,12.0,19.0,Natural,Hydrological,Flood,Riverine flood,1000.0,0.0
2010-0151-USA,United States of America (the),2010,4.0,5.0,2010,4.0,5.0,Technological,Technological,Industrial accident,Explosion,2.0,27.0
2010-0209-USA,United States of America (the),2010,6.0,7.0,2010,6.0,7.0,Technological,Technological,Industrial accident,Explosion,13.0,13.0
2010-0474-USA,United States of America (the),2010,9.0,9.0,2010,9.0,9.0,Technological,Technological,Miscellaneous accident,Explosion,171.0,8.0
2011-0195-USA,United States of America (the),2011,5.0,29.0,2011,6.0,1.0,Natural,Meteorological,Storm,Convective storm,200.0,3.0
2011-0029-USA,United States of America (the),2011,1.0,31.0,2011,2.0,2.0,Natural,Meteorological,Storm,Convective storm,39.0,39.0
2011-0145-USA,United States of America (the),2011,4.0,22.0,2011,4.0,29.0,Natural,Meteorological,Storm,Convective storm,17200.0,354.0
2011-0134-USA,United States of America (the),2011,4.0,14.0,2011,4.0,16.0,Natural,Meteorological,Storm,Convective storm,43.0,46.0
2011-0172-USA,United States of America (the),2011,5.0,20.0,2011,5.0,25.0,Natural,Meteorological,Storm,Convective storm,1150.0,176.0
