index,country_key,date_key,education_key,health_key,quality_of_life_key,event_key
1280,2,114,41,41,41,558
1281,3,114,57,57,57,913
1282,3,114,57,57,57,916
1283,3,114,57,57,57,933
1284,3,114,57,57,57,934
1285,3,114,57,57,57,936
1286,4,114,73,73,73,1672
1287,4,114,73,73,73,1683
1288,4,114,73,73,73,1696
1289,4,114,73,73,73,1697
1290,4,114,73,73,73,1698
1291,4,114,73,73,73,1701
1292,4,114,73,73,73,1709
1293,4,114,73,73,73,1715
1294,6,114,103,105,105,2022
1295,7,114,119,121,121,2149
1296,2,115,41,41,41,565
1297,3,115,57,57,57,919
1298,3,115,57,57,57,922
1299,4,115,73,73,73,1669
1300,4,115,73,73,73,1673
1301,4,115,73,73,73,1674
1302,4,115,73,73,73,1677
1303,4,115,73,73,73,1679
1304,4,115,73,73,73,1703
1305,4,115,73,73,73,1705
1306,7,115,119,121,121,2147
1307,0,116,9,9,9,35
1308,2,116,41,41,41,562
1309,3,116,57,57,57,912
1310,3,116,57,57,57,920
1311,3,116,57,57,57,921
1312,3,116,57,57,57,931
1313,3,116,57,57,57,938
1314,4,116,73,73,73,1675
1315,4,116,73,73,73,1676
1316,4,116,73,73,73,1680
1317,4,116,73,73,73,1686
1318,4,116,73,73,73,1702
1319,4,116,73,73,73,1706
1320,4,116,73,73,73,1707
1321,6,116,103,105,105,2020
1322,6,116,103,105,105,2025
1323,2,117,41,41,41,559
1324,2,117,41,41,41,561
1325,2,117,41,41,41,562
1326,2,117,41,41,41,563
1327,3,117,57,57,57,912
1328,3,117,57,57,57,914
1329,3,117,57,57,57,926
1330,3,117,57,57,57,927
1331,4,117,73,73,73,1668
1332,4,117,73,73,73,1678
1333,4,117,73,73,73,1684
1334,4,117,73,73,73,1699
1335,4,117,73,73,73,1704
1336,4,117,73,73,73,1716
1337,6,117,103,105,105,2020
1338,7,117,119,121,121,2152
1339,7,117,119,121,121,2153
1340,2,118,41,41,41,560
1341,3,118,57,57,57,914
1342,3,118,57,57,57,917
1343,3,118,57,57,57,932
1344,3,118,57,57,57,939
1345,4,118,73,73,73,1693
1346,7,118,119,121,121,2151
1347,7,118,119,121,121,2154
1348,4,119,73,73,73,1694
1349,4,119,73,73,73,1711
1350,2,121,42,42,42,570
1351,4,121,74,74,74,1751
1352,6,121,104,106,106,2035
1353,6,121,104,106,106,2038
1354,7,121,120,122,122,2163
1355,2,122,42,42,42,575
1356,4,122,74,74,74,1736
1357,4,122,74,74,74,1762
1358,6,122,104,106,106,2034
1359,2,123,42,42,42,566
1360,2,123,42,42,42,569
1361,2,123,42,42,42,571
1362,3,123,58,58,58,940
1363,3,123,58,58,58,942
1364,3,123,58,58,58,962
1365,4,123,74,74,74,1722
1366,4,123,74,74,74,1727
1367,4,123,74,74,74,1737
1368,6,123,104,106,106,2037
1369,7,123,120,122,122,2161
1370,3,124,58,58,58,947
1371,3,124,58,58,58,948
1372,3,124,58,58,58,952
1373,4,124,74,74,74,1721
1374,4,124,74,74,74,1726
1375,4,124,74,74,74,1728
1376,4,124,74,74,74,1734
1377,4,124,74,74,74,1738
1378,4,124,74,74,74,1758
1379,6,124,104,106,106,2026
1380,6,124,104,106,106,2032
1381,7,124,120,122,122,2157
1382,7,124,120,122,122,2160
1383,7,124,120,122,122,2164
1384,2,125,42,42,42,568
1385,3,125,58,58,58,950
1386,3,125,58,58,58,953
1387,3,125,58,58,58,955
1388,3,125,58,58,58,958
1389,3,125,58,58,58,960
1390,3,125,58,58,58,964
1391,4,125,74,74,74,1719
1392,4,125,74,74,74,1723
1393,4,125,74,74,74,1739
1394,4,125,74,74,74,1749
1395,4,125,74,74,74,1763
1396,4,125,74,74,74,1768
1397,4,125,74,74,74,1769
1398,6,125,104,106,106,2030
1399,6,125,104,106,106,2031
1400,7,125,120,122,122,2164
1401,3,126,58,58,58,943
1402,3,126,58,58,58,956
1403,3,126,58,58,58,957
1404,3,126,58,58,58,965
1405,4,126,74,74,74,1717
1406,4,126,74,74,74,1720
